335988,Kings XI Punjab,Chennai Super Kings,4/19/2008,2008,Punjab Cricket Association Stadium Mohali,Chandigarh,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MEK Hussey
335989,Delhi Daredevils,Rajasthan Royals,4/19/2008,2008,Feroz Shah Kotla,Delhi,India,Rajasthan Royals,Delhi Daredevils,bat,wickets,Result,MF Maharoof
335990,Mumbai Indians,Royal Challengers Bangalore,4/20/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Result,MV Boucher
335991,Kolkata Knight Riders,Deccan Chargers,4/20/2008,2008,Eden Gardens,Kolkata,India,Deccan Chargers,Kolkata Knight Riders,bat,wickets,Result,DJ Hussey
335992,Rajasthan Royals,Kings XI Punjab,4/21/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Kings XI Punjab,Rajasthan Royals,bat,wickets,Result,SR Watson
335993,Deccan Chargers,Delhi Daredevils,4/22/2008,2008,Rajiv Gandhi International Stadium,Hyderabad,India,Deccan Chargers,Delhi Daredevils,bat,wickets,Result,V Sehwag
335994,Chennai Super Kings,Mumbai Indians,4/23/2008,2008,MA Chidambaram Stadium,Chennai,India,Mumbai Indians,Chennai Super Kings,field,runs,Result,ML Hayden
335995,Deccan Chargers,Rajasthan Royals,4/24/2008,2008,Rajiv Gandhi International Stadium,Hyderabad,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,YK Pathan
335996,Kings XI Punjab,Mumbai Indians,4/25/2008,2008,Punjab Cricket Association Stadium,Chandigarh,India,Mumbai Indians,Kings XI Punjab,field,runs,Result,KC Sangakkara
335997,Royal Challengers Bangalore,Rajasthan Royals,4/26/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SR Watson
335998,Chennai Super Kings,Kolkata Knight Riders,4/26/2008,2008,MA Chidambaram Stadium,Chennai,India,Kolkata Knight Riders,Chennai Super Kings,bat,wickets,Result,JDP Oram
335999,Mumbai Indians,Deccan Chargers,4/27/2008,2008,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Deccan Chargers,field,wickets,Result,AC Gilchrist
336000,Kings XI Punjab,Delhi Daredevils,4/27/2008,2008,Punjab Cricket Association Stadium,Chandigarh,India,Delhi Daredevils,Kings XI Punjab,bat,wickets,Result,SM Katich
336001,Royal Challengers Bangalore,Chennai Super Kings,4/28/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni
336002,Kolkata Knight Riders,Mumbai Indians,4/29/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Mumbai Indians,bat,wickets,Result,ST Jayasuriya
336003,Delhi Daredevils,Royal Challengers Bangalore,4/30/2008,2008,Feroz Shah Kotla,Delhi,India,Royal Challengers Bangalore,Delhi Daredevils,field,runs,Result,GD McGrath
336004,Deccan Chargers,Kings XI Punjab,5/1/2008,2008,Rajiv Gandhi International Stadium,Hyderabad,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,SE Marsh
336005,Rajasthan Royals,Kolkata Knight Riders,5/1/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,SA Asnodkar
336006,Chennai Super Kings,Delhi Daredevils,5/2/2008,2008,MA Chidambaram Stadium,Chennai,India,Chennai Super Kings,Delhi Daredevils,bat,wickets,Result,V Sehwag
336007,Deccan Chargers,Royal Challengers Bangalore,5/25/2008,2008,Rajiv Gandhi International Stadium,Hyderabad,India,Deccan Chargers,Royal Challengers Bangalore,bat,wickets,Result,R Vinay Kumar
336008,Kings XI Punjab,Kolkata Knight Riders,5/3/2008,2008,Punjab Cricket Association Stadium,Chandigarh,India,Kings XI Punjab,Kings XI Punjab,bat,runs,Result,IK Pathan
336009,Mumbai Indians,Delhi Daredevils,5/4/2008,2008,Dr DY Patil Sports Academy,Mumbai,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,SM Pollock
336010,Rajasthan Royals,Chennai Super Kings,5/4/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Chennai Super Kings,Rajasthan Royals,bat,wickets,Result,Sohail Tanvir
336011,Royal Challengers Bangalore,Kings XI Punjab,5/5/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,S Sreesanth
336012,Chennai Super Kings,Deccan Chargers,5/6/2008,2008,MA Chidambaram Stadium,Chennai,India,Deccan Chargers,Deccan Chargers,field,wickets,Result,AC Gilchrist
336013,Mumbai Indians,Rajasthan Royals,5/7/2008,2008,Dr DY Patil Sports Academy,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,A Nehra
336014,Delhi Daredevils,Chennai Super Kings,5/8/2008,2008,Feroz Shah Kotla,Delhi,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,MS Dhoni
336015,Kolkata Knight Riders,Royal Challengers Bangalore,5/8/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly
